𠀝 #0002001d
흹 #0000d779
𨹜 #00028e5c
𧩗 #00027a57
\U0001c593 #0001c593
랋 #0000b78b
\U0003a0bf #0003a0bf
𢱤 #00022c64
ѽ #0000047d
弢 #00005f22
\U00019a5b #00019a5b
𔘼 #0001463c
\U00018e16 #00018e16
\U0001de11 #0001de11
뾍 #0000bf8d
𮈈 #0002e208
𫪴 #0002bab4
\U0002f635 #0002f635
䲝 #00004c9d
͍ #0000034d
Â #000000c2
\U000127d1 #000127d1
眠 #00007720
\U00012f78 #00012f78
𰬩 #00030b29
\U00037f26 #00037f26
\uef7d #0000ef7d
\U0003e94f #0003e94f
𪊯 #0002a2af
𰱡 #00030c61
\U0001fcca #0001fcca
𘑯 #0001846f
丝 #00004e1d
𣌺 #0002333a
覟 #0000899f
⹍ #00002e4d
鼠 #00009f20
𭘹 #0002d639
\U00015534 #00015534
\U0003bfb1 #0003bfb1
\U0003429b #0003429b
𥈭 #0002522d
\U0003fecb #0003fecb
\U00010f93 #00010f93
𠂙 #00020099
\U000394c7 #000394c7
\U00036fa3 #00036fa3
𬠌 #0002c80c
𐬕 #00010b15
🛇 #0001f6c7
ꡊ #0000a84a
\U00031cb4 #00031cb4
\U00032f49 #00032f49
蚈 #00008688
« #000000ab
\U00037928 #00037928
扎 #0000624e
诊 #00008bca
𮀸 #0002e038
𮦘 #0002e998
𡵳 #00021d73
ᅽ #0000117d
\U000194ad #000194ad
\U0002fcfb #0002fcfb
𑩻 #00011a7b
\U0003939b #0003939b
\U000341fe #000341fe
\U0003b012 #0003b012
🬚 #0001fb1a
\U0003f223 #0003f223
\U0003903c #0003903c
\U0003d45c #0003d45c
𮄔 #0002e114
\U00037e21 #00037e21
\U0001dd91 #0001dd91
\uefc6 #0000efc6
\U00036a07 #00036a07
\U0003b89a #0003b89a
\U00013ece #00013ece
𭴰 #0002dd30
𤠊 #0002480a
𦍻 #0002637b
\U0001f2cc #0001f2cc
\U00014257 #00014257
\U0003e437 #0003e437
\U0001ed98 #0001ed98
\U00015d7d #00015d7d
\U00032ea7 #00032ea7
𗧭 #000179ed
⾴ #00002fb4
\U0003554f #0003554f
Ꚉ #0000a688
𗭛 #00017b5b
\U0001a118 #0001a118
\U0001b8b6 #0001b8b6
𗮚 #00017b9a
寻 #00005bfb
\U0001dcb9 #0001dcb9
\U0001e68a #0001e68a
\U00038b66 #00038b66
𠮮 #00020bae
ᦎ #0000198e
\uf26e #0000f26e
𱊙 #00031299
\U00011ff3 #00011ff3
𩞙 #00029799
𥞘 #00025798
\uebc3 #0000ebc3
𰧿 #000309ff
\U0001b138 #0001b138
𢩵 #00022a75
\U0001abae #0001abae
𦱏 #00026c4f
\U0003f1d4 #0003f1d4
\U0001de65 #0001de65
𪿵 #0002aff5
↛ #0000219b
𝋬 #0001d2ec
𒋉 #000122c9
\uf762 #0000f762
彉 #00005f49
ꦆ #0000a986
\U000166cd #000166cd
\ue02d #0000e02d
\U0003d83b #0003d83b
\U0001b50a #0001b50a
\ue73c #0000e73c
𧪴 #00027ab4
\U00015c75 #00015c75
呦 #00005466
\U00039a14 #00039a14
\U00036ac0 #00036ac0
Ӣ #000004e2
𘅭 #0001816d
\U0003ba8c #0003ba8c
𩩗 #00029a57
复 #0000590d
个 #00004e2a
\U000137db #000137db
Ủ #00001ee6
𭾠 #0002dfa0
呆 #00005446
\U00015070 #00015070
\U0003bd79 #0003bd79
\U00033cd7 #00033cd7
\U0001c319 #0001c319
\U0002f53e #0002f53e
\U00032b89 #00032b89
𢺂 #00022e82
髤 #00009ae4
\U000323f4 #000323f4
\U00039f47 #00039f47
\U00016fbe #00016fbe
\U0003ca99 #0003ca99
\U0001239c #0001239c
褊 #0000890a
收 #00006536
𗣴 #000178f4
枸 #000067b8
\U0002f1b7 #0002f1b7
Š #00000160
\U000359a5 #000359a5
𮪻 #0002eabb
𦳅 #00026cc5
𪅙 #0002a159
\U00038f85 #00038f85
𩛰 #000296f0
計 #00008a08
\U0001bffe #0001bffe
𦞓 #00026793
? #0000003f
\U0003fcab #0003fcab
𬜴 #0002c734
\U0003ffd9 #0003ffd9
𭼘 #0002df18
\U00033fa9 #00033fa9
𪍹 #0002a379
\U0001e25d #0001e25d
𘣎 #000188ce
\U0001ac18 #0001ac18
\U0003c8f2 #0003c8f2
몮 #0000baae
𢵺 #00022d7a
𠮗 #00020b97
𡾓 #00021f93
쳱 #0000ccf1
𡷳 #00021df3
\U0001a256 #0001a256
\U000117de #000117de
𘡝 #0001885d
\U0003e591 #0003e591
𤠌 #0002480c
\U00012697 #00012697
\u20c0 #000020c0
힞 #0000d79e
𥩬 #00025a6c
\U000384a1 #000384a1
䖙 #00004599
𝃇 #0001d0c7
ᰓ #00001c13
𡾖 #00021f96
애 #0000c560
𢫳 #00022af3
\U0003fc21 #0003fc21
𨯎 #00028bce
𠂐 #00020090
𠉨 #00020268
┢ #00002522
𐧳 #000109f3
䄇 #00004107
욍 #0000c68d
𢰨 #00022c28
∧ #00002227
\U0003e7e0 #0003e7e0
م #00000645
𦘇 #00026607
\U000394bb #000394bb
ᕩ #00001569
\U00038811 #00038811
\u0c3c #00000c3c
\U00033f34 #00033f34
还 #00008fd8
𝁔 #0001d054
\U0001e162 #0001e162
\U0001e5b2 #0001e5b2
\U00019410 #00019410
𞄎 #0001e10e
𦝎 #0002674e
\U00013719 #00013719
\U00037759 #00037759
\U00013d24 #00013d24
𢶞 #00022d9e
\U0003d024 #0003d024
𦊅 #00026285
\U00038724 #00038724
𥸉 #00025e09
\U00039ae6 #00039ae6
� #0000fffd
衶 #00008876
\U0003ca62 #0003ca62
\ue472 #0000e472
\U00039f10 #00039f10
祰 #00007970
⏩ #000023e9
𪞺 #0002a7ba
𪈜 #0002a21c
\U0002f4a4 #0002f4a4
ᆴ #000011b4
ꮏ #0000ab8f
𑓅 #000114c5
\U0003a8c4 #0003a8c4
\U000362bd #000362bd
네 #0000b124
\U00014240 #00014240
𦳵 #00026cf5
\U00013d37 #00013d37
휽 #0000d73d
\U0001c86a #0001c86a
\U0003dee5 #0003dee5
𭀣 #0002d023
㝖 #00003756
\U0001cb91 #0001cb91
𰓋 #000304cb
囿 #000056ff
\U000380f1 #000380f1
갫 #0000ac2b
\U0001989f #0001989f
\U00037c21 #00037c21
ؤ #00000624
\U000318d8 #000318d8
\U00032331 #00032331
𣧐 #000239d0
𩣲 #000298f2
指 #00006307
因 #000056e0
\U0001ae60 #0001ae60
𖤊 #0001690a
𥧝 #000259dd
\U000350ee #000350ee
쿼 #0000cffc
𥷛 #00025ddb
\U0003b397 #0003b397
𨆔 #00028194
駤 #000099e4
𧎓 #00027393
瑌 #0000744c
\U00034083 #00034083
\U0003e7f1 #0003e7f1
𩉢 #00029262
\U00039284 #00039284
\U00013850 #00013850
𩚢 #000296a2
𥥞 #0002595e
𣓴 #000234f4
\U0002fdaf #0002fdaf
臅 #000081c5
𣛜 #000236dc
س #00000633
\U00036bf8 #00036bf8
\U0001ab62 #0001ab62
㷕 #00003dd5
𬀥 #0002c025
𪾱 #0002afb1
\U00039e73 #00039e73
\U0001db04 #0001db04
\U0003399f #0003399f
𫖄 #0002b584
𣇒 #000231d2
敺 #0000657a
\U000105dd #000105dd
𮀔 #0002e014
𦩧 #00026a67
\U0003e814 #0003e814
𩪷 #00029ab7
\ue28b #0000e28b
𤣙 #000248d9
\U00032e77 #00032e77
䣫 #000048eb
\U00014bd2 #00014bd2
\U0003755e #0003755e
\U000150dd #000150dd
\U0003e8d5 #0003e8d5
\U0003b0ec #0003b0ec
퉻 #0000d27b
处 #00005904
𭆴 #0002d1b4
녑 #0000b151
𣿳 #00023ff3
紎 #00007d0e
\ue4a5 #0000e4a5
\U000196a2 #000196a2
\U00033341 #00033341
\U0001cde9 #0001cde9
\U00019287 #00019287
" #00000022
避 #0000907f
\U00011afd #00011afd
猻 #0000733b
\U0002f649 #0002f649
𩘜 #0002961c
🀐 #0001f010
鵊 #00009d4a
𠎹 #000203b9
\ue3a7 #0000e3a7
멩 #0000ba69
𦈇 #00026207
곘 #0000acd8
蔲 #00008532
𬸞 #0002ce1e
\U00015910 #00015910
𑶋 #00011d8b
⣥ #000028e5
\U0003972c #0003972c
𮓇 #0002e4c7
𤝀 #00024740
\U0003154b #0003154b
𭡿 #0002d87f
𡗆 #000215c6
\U00036900 #00036900
𥴡 #00025d21
🙥 #0001f665
𓁦 #00013066
𡯞 #00021bde
\U00013892 #00013892
𩩘 #00029a58
隧 #000096a7
\U00015d44 #00015d44
\U00012894 #00012894
\U000135a1 #000135a1
河 #00006cb3
푏 #0000d44f
签 #00007b7e
ז #000005d6
𡟮 #000217ee
\U00014a63 #00014a63
𠜠 #00020720
\U00019179 #00019179
椔 #0002f8e6
𔒡 #000144a1
𩼒 #00029f12
劗 #00005297
𮓑 #0002e4d1
滩 #00006ee9
啱 #00005571
㑉 #00003449
\U0001c98e #0001c98e
𭅕 #0002d155
𰀐 #00030010
詆 #00008a46
𩬙 #00029b19
𝣃 #0001d8c3
뻀 #0000bec0
떟 #0000b59f
䴞 #00004d1e
远 #00008fdc
𪸸 #0002ae38
蟝 #000087dd
𛉧 #0001b267
𪀨 #0002a028
\U00039ce3 #00039ce3
\U0001bdf9 #0001bdf9
棗 #000068d7
ƺ #000001ba
\U000369cb #000369cb
\U00019cdd #00019cdd
𧼐 #00027f10
𨳂 #00028cc2
\U0002eee7 #0002eee7
\U0003f820 #0003f820
吒 #00005412
\U0001ab04 #0001ab04
𫮓 #0002bb93
𦟭 #000267ed
\U0003d5f1 #0003d5f1
\U00032522 #00032522
겕 #0000ac95
\U00012adb #00012adb
𤘧 #00024627
\U000116cb #000116cb
\ueba5 #0000eba5
䗥 #000045e5
蚲 #000086b2
𩅬 #0002916c
\U0001a75b #0001a75b
𐌎 #0001030e
𩥬 #0002996c
Ď #0000010e
𣹟 #00023e5f
\U0001c23a #0001c23a
\U0001fcc9 #0001fcc9
\uf653 #0000f653
𥁌 #0002504c
\U0001eb91 #0001eb91
\U0001bf23 #0001bf23
𫷞 #0002bdde
𬄖 #0002c116
䝯 #0000476f
\U0003aa85 #0003aa85
\U0001bdf1 #0001bdf1
𪘻 #0002a63b
\U0003b381 #0003b381
蚳 #000086b3
惰 #000060f0
ᅅ #00001145
𰿣 #00030fe3
\U0003bb7a #0003bb7a
\U00038dd5 #00038dd5
𮧚 #0002e9da
简 #00007b80
鋍 #000092cd
\U0003d50b #0003d50b
\U00014323 #00014323
𰩕 #00030a55
\U0001c659 #0001c659
𘘾 #0001863e
暈 #00006688
\U00035b3b #00035b3b
𐓦 #000104e6
\uf1ab #0000f1ab
\U000193c1 #000193c1
𛂫 #0001b0ab
用 #00007528
\U0003c2d1 #0003c2d1
暴 #000066b4
𬑑 #0002c451
瀖 #00007016
턺 #0000d13a
鹩 #00009e69
㺫 #00003eab
\ue356 #0000e356
뤡 #0000b921
\U00014c1c #00014c1c
𱋽 #000312fd
𪛆 #0002a6c6
𪂮 #0002a0ae
\U0001c138 #0001c138
\U000152f9 #000152f9
\U000149f5 #000149f5
똽 #0000b63d
鿖 #00009fd6
\U000126b4 #000126b4
\U00034990 #00034990
\U00019216 #00019216
报 #000062a5
\U0003bc85 #0003bc85
𧦰 #000279b0
ꎷ #0000a3b7
왗 #0000c657
轓 #00008f53
𨹯 #00028e6f
\U0003d775 #0003d775
숅 #0000c205
𰢝 #0003089d
𪛘 #0002a6d8
𩋹 #000292f9
载 #00008f7d
错 #00009519
𢠏 #0002280f
\U0003a21a #0003a21a
\U0001be4e #0001be4e
劳 #0002f992
𭾒 #0002df92
\u1adc #00001adc
メ #000030e1
\U0002fd4f #0002fd4f
\U00011799 #00011799
像 #0002f80b
𡁂 #00021042
𘇍 #000181cd
\U00015c3b #00015c3b
\U00035df7 #00035df7
\U00014e3e #00014e3e
\U0003adbf #0003adbf
\U00037499 #00037499
㊥ #000032a5
\U00036e1d #00036e1d
𑑉 #00011449
劳 #000052b3
闤 #000095e4
\U0001d258 #0001d258
맛 #0000b9db
𪷐 #0002add0
\U000384e1 #000384e1
𧮦 #00027ba6
\U000397e0 #000397e0
⫤ #00002ae4
\U00033dc6 #00033dc6
𫿾 #0002bffe
\U0002eca5 #0002eca5
𬎖 #0002c396
\U00031993 #00031993
\U00018fbf #00018fbf
𝤯 #0001d92f
\U0001673f #0001673f
绪 #00007eea
𰱌 #00030c4c
𮯝 #0002ebdd
\U000387ef #000387ef
\U0003a3e4 #0003a3e4
\U0003365e #0003365e
\U000328fe #000328fe
根 #00006839
\U0003b86e #0003b86e
\U00035e4a #00035e4a
\U0001dc7e #0001dc7e
𤽟 #00024f5f
𑿞 #00011fde
犪 #000072aa
\U000345c9 #000345c9
\U0001641a #0001641a
\ue8b1 #0000e8b1
\U00018f53 #00018f53
\U00015cfb #00015cfb
\U000384b6 #000384b6
㯴 #00003bf4
\U0002fb60 #0002fb60
𰞟 #0003079f
\U00019292 #00019292
ᯃ #00001bc3
𦽌 #00026f4c
𗻡 #00017ee1
\U00016a6c #00016a6c
赭 #00008d6d
\U000359c2 #000359c2
述 #00008ff0
\U00031688 #00031688
\U00014779 #00014779
底 #00005e95
嘴 #00005634
𥮅 #00025b85
𝙠 #0001d660
쵇 #0000cd47
𰀜 #0003001c
셄 #0000c144
𝝎 #0001d74e
麱 #00009eb1
\U0003fc82 #0003fc82
𦘜 #0002661c
𥜏 #0002570f
\U000323bf #000323bf
\U0003b1fb #0003b1fb
𧵪 #00027d6a
𰯫 #00030beb
𥣉 #000258c9
𮏾 #0002e3fe
\U0003a394 #0003a394
𩅅 #0002f9f6
𝍏 #0001d34f
\U00015f74 #00015f74
\U0003c971 #0003c971
\U00038bb0 #00038bb0
燦 #000071e6
\U000395d9 #000395d9
\U0003d029 #0003d029
𘕯 #0001856f
𨯟 #00028bdf
\U00035303 #00035303
\U0001e727 #0001e727
𩌠 #00029320
疶 #000075b6
㧐 #000039d0
\U00032952 #00032952
末 #0000672b
ﴚ #0000fd1a
𭾊 #0002df8a
\U0002edef #0002edef
𮍲 #0002e372
\U000347ff #000347ff
\U00032660 #00032660
𨉖 #00028256
\U000392a8 #000392a8
𤊙 #00024299
\U00011cf1 #00011cf1
𫝒 #0002b752
𠞐 #00020790
𤜹 #00024739
\U00036069 #00036069
걱 #0000ac71
𗕴 #00017574
\U00033f89 #00033f89
𧻝 #00027edd
ㅠ #00003160
𩭿 #00029b7f
𭔁 #0002d501
𦎣 #000263a3
䗖 #000045d6
𥵶 #00025d76
𰔫 #0003052b
\U0003cea2 #0003cea2
\U000339f6 #000339f6
\U000128cd #000128cd
\U0003de8f #0003de8f
𣊳 #000232b3
\U0001a2f7 #0001a2f7
\U000398b6 #000398b6
\U0001dc11 #0001dc11
\U0002fce5 #0002fce5
䰗 #00004c17
虁 #00008641
\ued70 #0000ed70
\U00034738 #00034738
𑄛 #0001111b
𐙽 #0001067d
\ue505 #0000e505
倃 #00005003
𡒘 #00021498
𰢊 #0003088a
𠱛 #00020c5b
\U0001c706 #0001c706
𣔹 #00023539
鑡 #00009461
𡍟 #0002135f
\U0001d3d7 #0001d3d7
𧅹 #00027179
\U0003d17c #0003d17c
秀 #000079c0
৲ #000009f2
飚 #000098da
𢧸 #000229f8
𪓻 #0002a4fb
\U00014fed #00014fed
𬼠 #0002cf20
㭌 #00003b4c
𦶪 #00026daa
혅 #0000d605
𢧘 #000229d8
\U00016522 #00016522
𠝠 #00020760
𨀒 #00028012
𥡻 #0002587b
修 #00004fee
䮇 #00004b87
\U0001922d #0001922d
\U00032e6b #00032e6b
救 #00006551
🚗 #0001f697
丽 #00004e3d
\U0003afa3 #0003afa3
\U000112ae #000112ae
ᕍ #0000154d
\U00038834 #00038834
𡌊 #0002130a
𩎻 #000293bb
𮒋 #0002e48b
𑚕 #00011695
Ⓝ #000024c3
\U00010fd6 #00010fd6
晬 #0000666c
帔 #00005e14
𦧋 #000269cb
\U000161d7 #000161d7
쏭 #0000c3ed
晃 #00006643
\uf409 #0000f409
\U0003f366 #0003f366
𪗀 #0002a5c0
𘧰 #000189f0
𭚃 #0002d683
𩯴 #00029bf4
엧 #0000c5e7
𭿘 #0002dfd8
\U0003a5b1 #0003a5b1
𦟉 #000267c9
𫒸 #0002b4b8
\U0002f1b5 #0002f1b5
\U00014c84 #00014c84
\U0001531f #0001531f
鼑 #00009f11
𩟸 #000297f8
𭲕 #0002dc95
𨙢 #00028662
\U0003ae6b #0003ae6b
𦰱 #00026c31
\U0003cdaf #0003cdaf
𔒄 #00014484
兜 #0000515c
\U00039844 #00039844
𤚧 #000246a7
\U0003f735 #0003f735
\U00031429 #00031429
\U000325f5 #000325f5
𝗛 #0001d5db
\U00033cc5 #00033cc5
\uf580 #0000f580
\U00038d92 #00038d92
眭 #0000772d
\U000136ef #000136ef
\U000394c3 #000394c3
ꈹ #0000a239
㋭ #000032ed
韬 #000097ec
\U00015346 #00015346
뺏 #0000be8f
\U0002fe51 #0002fe51
𑵔 #00011d54
𩁆 #00029046
𩕳 #00029573
𒂜 #0001209c
爎 #0000720e
\U0003a869 #0003a869
⓴ #000024f4
𔐝 #0001441d
\U00012ea4 #00012ea4
\U0003b2dc #0003b2dc
𣿓 #00023fd3
\U00014055 #00014055
𮨮 #0002ea2e
𥽜 #00025f5c
𦌧 #00026327
\U0003d32a #0003d32a
𑻭 #00011eed
溃 #00006e83
𦊨 #000262a8
ᖄ #00001584
𮬟 #0002eb1f
\U0001acda #0001acda
\ue6c5 #0000e6c5
𤜭 #0002472d
𒈁 #00012201
𘡓 #00018853
\U00031b41 #00031b41
댲 #0000b332
\U0003a17e #0003a17e
𡺯 #00021eaf
\U0001c835 #0001c835
쀨 #0000c028
븏 #0000be0f
\U0003956a #0003956a
\U0002f31b #0002f31b
\uf465 #0000f465
\U0001607e #0001607e
\U00037277 #00037277
𐅁 #00010141
\U000107b7 #000107b7
\U00038f2e #00038f2e
\U000387f2 #000387f2
\U00033016 #00033016
𗮬 #00017bac
\U0001bd84 #0001bd84
\U0001d3b3 #0001d3b3
\U00034ed0 #00034ed0
𣖺 #000235ba
剺 #0000527a
\U0003689d #0003689d
𘬽 #00018b3d
\U00032400 #00032400
𤭲 #00024b72
檝 #00006a9d
シ #000030b7
𓌿 #0001333f
╗ #00002557
\U00010775 #00010775
𐪑 #00010a91
𩟈 #000297c8
委 #000059d4
\U00038373 #00038373
탽 #0000d0fd
𗞞 #0001779e
\U000395f8 #000395f8
\U0001db95 #0001db95
𤋊 #000242ca
\U0003d5a1 #0003d5a1
\u1bfb #00001bfb
\ue46a #0000e46a
𒒰 #000124b0
\U00012c4c #00012c4c
𨫍 #00028acd
𠜣 #00020723
𩯪 #00029bea
𧸮 #00027e2e
𫌖 #0002b316
\U0001032b #0001032b
𫳇 #0002bcc7
耵 #00008035
𩫊 #00029aca
𪍸 #0002a378
\U0003fc25 #0003fc25
𧹶 #00027e76
𑤍 #0001190d
ຈ #00000e88
\U0003b7d8 #0003b7d8
𝆵 #0001d1b5
\U0003c775 #0003c775
伊 #00004f0a
螺 #0000f911
y #00000079
軳 #00008ef3
𩡊 #0002984a
\U0003f561 #0003f561
\uf867 #0000f867
𢏃 #000223c3
𞲗 #0001ec97
\U00014d89 #00014d89
\U0001cd4d #0001cd4d
𭉎 #0002d24e
߃ #000007c3
\U00012bed #00012bed
𮒎 #0002e48e
𧰰 #00027c30
\U000149c6 #000149c6
𘊑 #00018291
囚 #000056da
\U000362a2 #000362a2
\U0002ec56 #0002ec56
ॏ #0000094f
퀟 #0000d01f
\U0003c9cc #0003c9cc
\u10cb #000010cb
昍 #0000660d
𐃞 #000100de
랳 #0000b7b3
\U0003e65f #0003e65f
) #00000029
𬍜 #0002c35c
\U00038234 #00038234
跳 #00008df3
\U0003c462 #0003c462
𱀪 #0003102a
𗰫 #00017c2b
\U000393b7 #000393b7
\U00018de0 #00018de0
ꮐ #0000ab90
𫝬 #0002b76c
𐒌 #0001048c
\U00015505 #00015505
\U000159ff #000159ff
\U00037da5 #00037da5
\U00014ee1 #00014ee1
㲶 #00003cb6
\U00014b60 #00014b60
𠄖 #00020116
\U0001deb0 #0001deb0
\uf7eb #0000f7eb
糷 #00007cf7
☴ #00002634
𰕞 #0003055e
\U00016fa3 #00016fa3
𡤤 #00021924
\U0001a6f2 #0001a6f2
曈 #000066c8
𢣒 #000228d2
𤿦 #00024fe6
럭 #0000b7ed
\U0003917b #0003917b
䋟 #000042df
\U00019000 #00019000
\U0003cdeb #0003cdeb
\U0003985b #0003985b
\U0001e0f9 #0001e0f9
\U0001a286 #0001a286
\U0003248d #0003248d
㺆 #00003e86
𢹋 #00022e4b
𩬾 #00029b3e
\U0001c37b #0001c37b
∇ #00002207
\U0003ada6 #0003ada6
𡬏 #00021b0f
𠕄 #00020544
\U000318e0 #000318e0
\U00016133 #00016133
\ue330 #0000e330
\U0003bd98 #0003bd98
\U0003afe8 #0003afe8
\U00018d9a #00018d9a
𡃵 #000210f5
𠺨 #00020ea8
\U0003eabb #0003eabb
𫔝 #0002b51d
쑼 #0000c47c
𠚉 #00020689
𩪀 #00029a80
\U00012f02 #00012f02
䄒 #00004112
\U00032ca9 #00032ca9
\U00037757 #00037757
𫓸 #0002b4f8
\U0001f8e2 #0001f8e2
\U0003547f #0003547f
\U00015f6c #00015f6c
苀 #000082c0
\U000339f1 #000339f1
\U0001fc57 #0001fc57
\U000137df #000137df
㝊 #0000374a
\U0001b437 #0001b437
𦴊 #00026d0a
\U0003cd9f #0003cd9f
\U00013ff1 #00013ff1
𞋞 #0001e2de
𩓼 #000294fc
𪷿 #0002adff
㺉 #00003e89
𥆀 #00025180
\U0003f000 #0003f000
𫱗 #0002bc57
\U00035005 #00035005
𩜎 #0002970e
𖼬 #00016f2c
\U0001a9fa #0001a9fa
𧟀 #000277c0
𬮹 #0002cbb9
쾥 #0000cfa5
𧀕 #00027015
\ueb33 #0000eb33
盏 #000076cf
\U00034fc4 #00034fc4
\U0003c1e5 #0003c1e5
\U0003d884 #0003d884
𑅧 #00011167
⇖ #000021d6
\U0003f59a #0003f59a
世 #00004e16
\U000162ad #000162ad
㹙 #00003e59
\U0003b22d #0003b22d
\U000158fc #000158fc
\U0003722d #0003722d
𐡤 #00010864
\U0003a27d #0003a27d
𨳛 #00028cdb
\U00031762 #00031762
\U0003440e #0003440e
\U0003332d #0003332d
🦉 #0001f989
⥖ #00002956
\U0001c6c3 #0001c6c3
𝚞 #0001d69e
𭄓 #0002d113
ﻨ #0000fee8
뼆 #0000bf06
𬬽 #0002cb3d
\U00036437 #00036437
\U00016584 #00016584
𫧀 #0002b9c0
𦏀 #000263c0
\U0003b298 #0003b298
퀃 #0000d003
\U00038f6a #00038f6a
齄 #00009f44
쿇 #0000cfc7
\U00034e53 #00034e53
\U000354f9 #000354f9
鰃 #00009c03
\U00012e74 #00012e74
䲰 #00004cb0
𮒢 #0002e4a2
\U00035c3f #00035c3f
ị #00001ecb
\ua7eb #0000a7eb
\ueccd #0000eccd
\ue53a #0000e53a
ス #000030b9
\U0002f7c6 #0002f7c6
韧 #000097e7
\U00019f5e #00019f5e
𩸦 #00029e26
\U0001c4b8 #0001c4b8
𢕱 #00022571
\U00036186 #00036186
𦷁 #00026dc1
\U0002fca7 #0002fca7
\U00031578 #00031578
\U0003ff64 #0003ff64
𦴯 #00026d2f
𨹋 #00028e4b
𨁅 #00028045
\U0001a872 #0001a872
\U0003f836 #0003f836
𦧗 #000269d7
\U000378aa #000378aa
𭮞 #0002db9e
食 #000098df
\U0001dc9c #0001dc9c
\U0003c282 #0003c282
\U0003d616 #0003d616
𰘛 #0003061b
\x16 #00000016
𝇌 #0001d1cc
\U0003a024 #0003a024
व #00000935
\U0002fdf6 #0002fdf6
䀢 #00004022
𧦂 #00027982
👚 #0001f45a
\U00034e10 #00034e10
\U0003ca00 #0003ca00
\U00035990 #00035990
𥆾 #000251be
\U000192fb #000192fb
\U00035704 #00035704
𦇳 #000261f3
𧓟 #000274df
䐽 #0000443d
\U000161fc #000161fc
\uebe7 #0000ebe7
𭂹 #0002d0b9
\U0003c4f4 #0003c4f4
䭁 #00004b41
\U0003cabc #0003cabc
\U0003fa03 #0003fa03
𗱟 #00017c5f
\U00032f98 #00032f98
𩑝 #0002945d
\U00031978 #00031978
们 #00004eec
𠣟 #000208df
干 #00005e72
\U00013c6e #00013c6e
员 #00005458
𨃂 #000280c2
㈼ #0000323c
\x90 #00000090
\U000399d5 #000399d5
𬧒 #0002c9d2
𩈯 #0002922f
𠊍 #0002028d
\U0003ef2a #0003ef2a
\U0001dd5c #0001dd5c
𰺔 #00030e94
\U0001e394 #0001e394
𦽸 #00026f78
𥼭 #00025f2d
㩮 #00003a6e
ꐅ #0000a405
\U0003b224 #0003b224
釃 #000091c3
\U0003e7db #0003e7db
𭓷 #0002d4f7
\U0001fd80 #0001fd80
𗌙 #00017319
\U00034179 #00034179
\U00038f7f #00038f7f
𔘒 #00014612
\U000341ce #000341ce
𑿒 #00011fd2
\U0002f5b0 #0002f5b0
𐙔 #00010654
\U00019fc2 #00019fc2
芭 #000082ad
\U00034e52 #00034e52
夭 #0000592d
𝀠 #0001d020
\U0003c520 #0003c520
൏ #00000d4f
䃏 #000040cf
\U00019737 #00019737
𥣳 #000258f3
😾 #0001f63e
\U000190dd #000190dd
\U000353bf #000353bf
𤸧 #00024e27
\uedd3 #0000edd3
杚 #0000675a
\U0003dc81 #0003dc81
\U0003e2b4 #0003e2b4
\ue7e5 #0000e7e5
𝡡 #0001d861
𤓨 #000244e8
𪿲 #0002aff2
𐡽 #0001087d
0 #00000030
𘁭 #0001806d
𝦃 #0001d983
𮄶 #0002e136
𧐜 #0002741c
♏ #0000264f
\U0001df3b #0001df3b
\U00034400 #00034400
\U0003fe3c #0003fe3c
䥶 #00004976
\U0001f0ff #0001f0ff
\U0003c9a3 #0003c9a3
혶 #0000d636
\U0001e5e0 #0001e5e0
𛱊 #0001bc4a
\U0003482b #0003482b
𑴢 #00011d22
\U0003e922 #0003e922
䄚 #0000411a
𣉲 #00023272
缘 #00007f18
𪅏 #0002a14f
𠉇 #00020247
\U0002fff5 #0002fff5
ễ #00001ec5
𠒢 #000204a2
\U00031857 #00031857
\U000191cb #000191cb
𦌋 #0002630b
䵏 #00004d4f
\U00037bff #00037bff
\U0003cd5a #0003cd5a
𗺶 #00017eb6
벚 #0000bc9a
\U0003b550 #0003b550
\U00032a1e #00032a1e
𭉮 #0002d26e
\U000338b2 #000338b2
𰃢 #000300e2
𩝞 #0002975e
𮊲 #0002e2b2
𘮧 #00018ba7
\U00037808 #00037808
𬇷 #0002c1f7
\U00038425 #00038425
𬋇 #0002c2c7
\U00012d4e #00012d4e
믢 #0000bbe2
𨌵 #00028335
𪅂 #0002a142
\U000388d7 #000388d7
𛆞 #0001b19e
𥹡 #00025e61
🛏 #0001f6cf
𑲢 #00011ca2
\U0003b474 #0003b474
𘐴 #00018434
𫂨 #0002b0a8
𔓔 #000144d4
\U00032710 #00032710
\U00014c51 #00014c51
\U0001e7a0 #0001e7a0
핓 #0000d553
\U0003598e #0003598e
\U0003737d #0003737d
\U0001c45b #0001c45b
\U0003c9e7 #0003c9e7
⋮ #000022ee
뷪 #0000bdea
𝠻 #0001d83b
\U00012bb0 #00012bb0
\U0003cc3d #0003cc3d
𤷄 #00024dc4
𬌱 #0002c331
𨩣 #00028a63
𑂐 #00011090
\U0003bb4b #0003bb4b
𨏏 #000283cf
\U00013bc5 #00013bc5
𧜣 #00027723
\U0003a372 #0003a372
裪 #000088ea
\U0001bdca #0001bdca
◘ #000025d8
ᯫ #00001beb
r #00000072
\U0001ffd5 #0001ffd5
𪃌 #0002a0cc
培 #000057f9
僄 #000050c4
\U0003b354 #0003b354
𧾁 #00027f81
